Start Time,End Time,Speed
2023-05-20 10:43:45,2023-05-20 10:43:45,0.34360580042972017
2023-05-20 10:46:03,2023-05-20 10:46:03,0.8083478098550528
2023-05-20 10:50:07,2023-05-20 10:50:07,0.34360578702582245
2023-05-20 10:51:08,2023-05-20 10:51:08,1.4530834935693524
2023-05-20 10:51:38,2023-05-20 10:51:38,1.355829673436996
2023-05-20 10:52:27,2023-05-20 10:52:27,0.27173897963578086
2023-05-20 10:54:54,2023-05-20 10:54:54,0.34360579344258185
2023-05-20 10:56:13,2023-05-20 10:56:13,0.4289257424969033
2023-05-20 11:00:17,2023-05-20 11:00:17,0.9769984278116147
2023-05-20 11:02:36,2023-05-20 11:02:36,0.34360582569091475
2023-05-20 11:03:50,2023-05-20 11:03:50,0.4527303728250112
2023-05-20 11:05:02,2023-05-20 11:05:02,0.34360580042972017
2023-05-20 11:07:08,2023-05-20 11:07:08,0.2519775955826297
2023-05-20 11:07:44,2023-05-20 11:07:44,1.1687600164094714
2023-05-20 11:16:50,2023-05-20 11:16:50,0.34360577887480415
2023-05-20 13:01:04,2023-05-20 13:01:04,0.34360578283710463
2023-05-20 13:02:24,2023-05-20 13:02:24,1.110701096914001
2023-05-20 13:03:17,2023-05-20 13:03:17,0.7831513292309942
2023-05-20 13:03:55,2023-05-20 13:03:55,0.37806159366207154
2023-05-20 13:05:10,2023-05-20 13:05:10,0.6679638521207661
2023-05-20 13:06:39,2023-05-20 13:06:39,1.3088093062176969
2023-05-20 13:07:40,2023-05-20 13:07:40,1.402612829897816
2023-05-20 13:08:45,2023-05-20 13:08:45,1.3997252271769303
2023-05-20 13:09:29,2023-05-20 13:09:29,1.449384333159593
2023-05-20 13:10:08,2023-05-20 13:10:08,1.5212275686963925
2023-05-20 13:10:52,2023-05-20 13:10:52,1.430910280006525
2023-05-20 13:11:25,2023-05-20 13:11:25,0.9916988950303679
2023-05-20 13:11:50,2023-05-20 13:11:50,0.4747064154417687
2023-05-20 13:12:35,2023-05-20 13:12:35,0.2748846497265051
2023-05-20 13:13:17,2023-05-20 13:13:17,0.7408085412234495
2023-05-20 13:25:59,2023-05-20 13:25:59,1.32531626503985
2023-05-20 13:26:26,2023-05-20 13:26:26,0.3524737591446682
2023-05-20 13:33:15,2023-05-20 13:33:15,0.3436057853219373
