Start Time,End Time,Calories
2023-07-12 00:01:00,2023-07-14 08:24:00,3334.8393131273488
2023-07-14 08:24:00,2023-07-14 08:30:00,17.0
2023-07-14 08:30:00,2023-07-14 10:51:00,138.99271154329182
2023-07-14 10:51:00,2023-07-14 10:57:00,6.0
