Start Time,End Time,Distance
2023-05-20 16:41:04,2023-05-20 16:41:20,16.93434471566526
2023-05-20 16:41:20,2023-05-20 16:42:05,39.171062586026984
2023-05-20 16:42:05,2023-05-20 16:42:21,19.009368315779817
2023-05-20 16:42:21,2023-05-20 16:43:05,43.43787545736518
2023-05-20 16:43:05,2023-05-20 16:43:21,20.295116513527994
2023-05-20 16:43:21,2023-05-20 16:44:05,54.49288086042932
2023-05-20 16:44:05,2023-05-20 16:44:21,20.11138086715098
2023-05-20 16:44:21,2023-05-20 16:45:24,82.26925027353958
2023-05-20 16:45:24,2023-05-20 16:46:01,30.92452309423183
2023-05-20 16:46:59,2023-05-20 16:47:59,19.929137105171623
2023-05-20 17:01:12,2023-05-20 17:03:04,38.48385096171072
2023-05-20 17:03:04,2023-05-20 17:03:11,13.656198095581544
2023-05-20 17:08:10,2023-05-20 17:09:14,21.990771978120414
2023-05-20 17:09:14,2023-05-20 17:09:27,11.682597613376469
2023-05-20 17:11:35,2023-05-20 17:11:58,7.559327867478892
2023-05-20 17:23:50,2023-05-20 17:25:14,28.862888221283043
2023-05-20 17:25:14,2023-05-20 17:25:52,45.37570990166224
2023-05-20 17:25:52,2023-05-20 17:25:57,5.544990637618541
2023-05-20 18:00:15,2023-05-20 18:01:15,15.805867359274048
2023-05-20 19:04:34,2023-05-20 19:05:11,12.650618112353504
2023-05-20 19:05:11,2023-05-20 19:06:33,61.1618345641474
2023-05-20 19:08:11,2023-05-20 19:09:11,74.61423126721581
2023-05-20 19:09:11,2023-05-20 19:10:11,85.69697509591671
2023-05-20 19:10:11,2023-05-20 19:11:12,92.51211032519373
2023-05-20 19:11:12,2023-05-20 19:12:12,97.50637560264232
2023-05-20 19:12:12,2023-05-20 19:12:32,28.455395870158984
2023-05-20 19:30:02,2023-05-20 19:30:57,88.18391590652361
2023-05-20 19:30:57,2023-05-20 19:32:08,115.61052021812864
2023-05-20 19:32:08,2023-05-20 19:33:07,94.41517873102306
2023-05-20 19:33:07,2023-05-20 19:33:39,34.696741829480835
2023-05-20 19:33:39,2023-05-20 19:34:03,32.21920891663594
2023-05-20 19:34:03,2023-05-20 19:34:31,37.71737097801851
2023-05-20 19:59:20,2023-05-20 20:02:18,61.1618345641474
2023-05-20 20:02:18,2023-05-20 20:02:48,24.052406851069204
2023-05-20 20:02:48,2023-05-20 20:03:18,20.61634872948789
2023-05-20 20:03:18,2023-05-20 20:03:21,2.8387295581146414
2023-05-20 21:34:58,2023-05-20 21:38:12,66.65952755867751
2023-05-20 21:38:12,2023-05-20 21:38:14,4.165401235871061
